FY,Branch,Board,AZ_Eligible,AZ_Select ,Perc_AZ_Selects,PZ_Eligible,PZ_Select ,Perc_PZ_Selects,BZ_Eligible,BZ_Select ,Perc_BZ_Selects
2014,DC,LTC,2,0,0.0,27,25,92.6,31,1,3.2
2014,DC,MAJ,1,1,0.0,52,50,96.2,0,0,0.0
2014,MC,COL,84,13,15.5,86,54,62.8,117,3,2.6
2014,MC,LTC,58,24,41.4,150,98,65.3,173,3,1.7
2014,MC,MAJ,24,12,50.0,274,261,95.3,0,0,0.0
2014,MS,COL,144,16,11.1,84,21,25.0,79,1,1.3
2014,MS,CPT,58,24,41.4,266,206,77.4,0,0,0.0
2014,MS,LTC,55,9,16.4,111,82,73.9,116,2,1.7
2014,MS,MAJ,40,4,10.0,251,171,68.1,275,9,3.3
2014,SP,COL,21,1,4.8,7,2,28.6,8,0,0.0
2014,SP,CPT,75,53,70.7,50,31,62.0,0,0,0.0
2014,SP,LTC,21,1,4.8,30,14,46.7,40,0,0.0
2014,SP,MAJ,72,13,18.1,101,53,52.5,104,0,0.0
2014,VC,COL,35,1,2.9,11,2,18.2,16,0,0.0
2014,VC,LTC,21,2,9.5,17,5,29.4,24,1,4.2
2014,VC,MAJ,3,1,33.3,38,31,81.6,39,1,2.6
2015,AN,COL,59,2,3.4,45,18,40.0,66,0,0.0
2015,AN,CPT,132,48,36.4,266,161,60.5,0,0,0.0
2015,AN,LTC,14,0,0.0,87,64,73.6,118,1,0.8
2015,AN,MAJ,27,8,29.6,135,112,83.0,165,3,1.8
2015,DC,COL,7,3,42.9,12,9,75.0,13,1,7.7
2015,DC,LTC,2,0,0.0,28,26,92.9,35,1,2.9
2015,DC,MAJ,2,0,0.0,69,66,95.7,0,0,0.0
2015,MC,COL,89,21,23.6,106,69,65.1,99,3,3.0
2015,MC,LTC,62,17,27.4,191,129,67.5,248,4,1.6
2015,MC,MAJ,20,6,30.0,274,257,93.8,0,0,0.0
2015,MS,COL,146,5,3.4,71,31,43.7,70,1,1.4
2015,MS,CPT,66,31,47.0,230,177,77.0,0,0,0.0
2015,MS,LTC,58,15,25.9,114,72,63.2,119,3,2.5
2015,MS,MAJ,85,15,17.6,251,162,64.5,287,9,3.1
2015,SP,COL,20,4,20.0,7,0,0.0,12,0,0.0
2015,SP,CPT,97,94,96.9,43,43,100.0,0,0,0.0
2015,SP,LTC,24,3,12.5,35,15,42.9,46,0,0.0
2015,SP,MAJ,73,6,8.2,93,44,47.3,113,0,0.0
2015,VC,COL,40,3,7.5,16,2,12.5,18,0,0.0
2015,VC,LTC,30,1,3.3,22,7,31.8,16,0,0.0
2015,VC,MAJ,6,3,50.0,33,24,72.7,35,0,0.0
2016,AN,COL,66,3,4.5,55,19,34.5,80,0,0.0
2016,AN,CPT,100,45,45.0,244,165,67.6,0,0,0.0
2016,AN,LTC,31,10,32.3,107,70,65.4,108,0,0.0
2016,AN,MAJ,28,7,25.0,147,119,81.0,206,3,1.5
2016,DC,COL,5,1,20.0,12,11,91.7,11,1,9.1
2016,DC,LTC,5,2,40.0,30,25,83.3,35,1,2.9
2016,DC,MAJ,6,5,83.3,70,70,100.0,0,0,0.0
2016,MC,COL,84,16,19.0,93,64,68.8,98,3,3.1
2016,MC,LTC,69,33,47.8,200,129,64.5,193,3,1.6
2016,MC,MAJ,25,13,52.0,303,290,95.7,0,0,0.0
2016,MS,COL,153,14,9.2,64,19,29.7,104,2,1.9
2016,MS,CPT,60,34,56.7,242,186,76.9,0,0,0.0
2016,MS,LTC,66,14,21.2,112,65,58.0,133,8,6.0
2016,MS,MAJ,103,36,35.0,252,171,67.9,244,12,4.9
2016,SP,COL,16,2,12.5,12,4,33.3,15,0,0.0
2016,SP,CPT,34,34,100.0,63,63,100.0,0,0,0.0
2016,SP,LTC,30,4,13.3,44,13,29.5,43,0,0.0
2016,SP,MAJ,76,20,26.3,111,56,50.5,83,1,1.2
2016,VC,COL,39,3,7.7,17,5,29.4,16,0,0.0
2016,VC,LTC,40,8,20.0,16,1,6.3,18,0,0.0
2016,VC,MAJ,10,3,30.0,32,23,71.9,32,0,0.0
