branch,skill,board,AZ_Select ,AZ_Eligible,Perc_AZ_Selects,BZ_Select ,BZ_Eligible,Perc_BZ_Selects,PZ_Select ,PZ_Eligible,Perc_PZ_Selects
MC,60P,LTC,1,3,33.3,0,5,0.0,4,5,80.0
MC,60Q,LTC,2,4,50.0,0,8,0.0,10,14,71.4
MC,60R,LTC,0,0,0.0,0,1,0.0,1,1,100.0
MC,60S,LTC,1,1,100.0,0,6,0.0,2,3,66.7
MC,60T,LTC,0,0,0.0,0,6,0.0,1,2,50.0
MC,60U,LTC,0,0,0.0,0,2,0.0,0,2,0.0
MC,60V,LTC,0,0,0.0,0,4,0.0,2,2,100.0
MC,60W,LTC,2,5,40.0,0,5,0.0,4,8,50.0
MC,61A,LTC,0,0,0.0,0,2,0.0,0,0,0.0
MC,61B,LTC,2,2,100.0,0,5,0.0,2,3,66.7
MC,61C,LTC,0,0,0.0,0,2,0.0,0,0,0.0
MC,61D,LTC,0,0,0.0,0,0,0.0,2,2,100.0
MC,61E,LTC,1,1,100.0,0,0,0.0,0,0,0.0
MC,61F,LTC,2,4,50.0,0,11,0.0,3,6,50.0
MC,61G,LTC,0,0,0.0,0,2,0.0,2,3,66.7
MC,61H,LTC,5,9,55.6,1,23,4.3,13,21,61.9
MC,61J,LTC,3,6,50.0,0,13,0.0,9,15,60.0
MC,61K,LTC,0,1,0.0,0,1,0.0,0,0,0.0
MC,61L,LTC,0,1,0.0,0,1,0.0,1,2,50.0
MC,61M,LTC,0,2,0.0,1,11,9.1,11,15,73.3
MC,61N,LTC,0,1,0.0,0,1,0.0,0,2,0.0
MC,61P,LTC,0,1,0.0,0,2,0.0,1,2,50.0
MC,61Q,LTC,1,1,100.0,0,1,0.0,0,0,0.0
MC,61R,LTC,5,6,83.3,1,14,7.1,8,10,80.0
MC,61U,LTC,1,2,50.0,0,7,0.0,6,10,60.0
MC,61W,LTC,0,0,0.0,0,1,0.0,2,4,50.0
MC,61Z,LTC,0,0,0.0,0,0,0.0,1,1,100.0
MC,62A,LTC,2,2,100.0,0,11,0.0,13,16,81.3
MC,62B,LTC,1,3,33.3,0,1,0.0,0,2,0.0
DC,63A,LTC,0,0,0.0,0,6,0.0,0,1,0.0
DC,63B,LTC,0,2,0.0,1,9,11.1,11,11,100.0
DC,63D,LTC,0,0,0.0,0,1,0.0,4,5,80.0
DC,63E,LTC,2,2,100.0,0,3,0.0,3,4,75.0
DC,63F,LTC,0,1,0.0,0,4,0.0,2,2,100.0
DC,63H,LTC,0,0,0.0,0,1,0.0,0,0,0.0
DC,63K,LTC,0,0,0.0,0,0,0.0,1,1,100.0
DC,63M,LTC,0,0,0.0,0,4,0.0,2,2,100.0
DC,63N,LTC,0,0,0.0,0,5,0.0,2,4,50.0
DC,63P,LTC,0,0,0.0,0,2,0.0,0,0,0.0
AN,66B,MAJ,1,2,50.0,0,14,0.0,5,8,62.5
AN,66C,MAJ,0,0,0.0,0,8,0.0,6,9,66.7
AN,66E,MAJ,1,2,50.0,0,31,0.0,18,23,78.3
AN,66F,MAJ,3,4,75.0,0,12,0.0,11,13,84.6
AN,66G,MAJ,0,3,0.0,1,11,9.1,12,16,75.0
AN,66H,MAJ,1,9,11.1,2,65,3.1,31,40,77.5
AN,66P,MAJ,0,0,0.0,0,10,0.0,5,6,83.3
AN,66R,MAJ,0,0,0.0,0,3,0.0,5,5,100.0
AN,66S,MAJ,1,4,25.0,0,37,0.0,17,17,100.0
AN,66T,MAJ,0,3,0.0,0,15,0.0,9,10,90.0
AN,66W,MAJ,0,0,0.0,0,0,0.0,0,0,0.0
MS,67E,MAJ,3,10,30.0,0,5,0.0,4,7,57.1
MS,67F,MAJ,1,1,100.0,0,5,0.0,3,5,60.0
MS,67G,MAJ,0,1,0.0,0,0,0.0,3,3,100.0
MS,67J,MAJ,1,3,33.3,0,28,0.0,12,15,80.0
MS,70A,MAJ,3,7,42.9,0,8,0.0,19,24,79.2
MS,70B,MAJ,0,2,0.0,1,86,1.2,1,2,50.0
MS,70C,MAJ,0,3,0.0,0,1,0.0,5,6,83.3
MS,70D,MAJ,3,3,100.0,1,8,12.5,7,12,58.3
MS,70E,MAJ,1,3,33.3,0,3,0.0,8,15,53.3
MS,70F,MAJ,3,3,100.0,0,7,0.0,13,20,65.0
MS,70H,MAJ,0,5,0.0,5,16,31.3,26,33,78.8
MS,70K,MAJ,7,15,46.7,2,17,11.8,22,36,61.1
MS,71A,MAJ,2,3,66.7,0,6,0.0,2,5,40.0
MS,71B,MAJ,2,5,40.0,0,6,0.0,6,6,100.0
MS,71E,MAJ,2,6,33.3,0,11,0.0,4,8,50.0
MS,71F,MAJ,0,2,0.0,0,4,0.0,0,0,0.0
